identifier,keyword
http://resolver.kb.nl/resolve?urn=ddd:010242496:mpeg21:a0003,overig
http://resolver.kb.nl/resolve?urn=ddd:010898978:mpeg21:a0003,overig
http://resolver.kb.nl/resolve?urn=MMKB19:002762111:mpeg21:a00009,overig
http://resolver.kb.nl/resolve?urn=ddd:010136425:mpeg21:a0005,overig
http://resolver.kb.nl/resolve?urn=KBDDD02:000203423:mpeg21:a0004,overig
http://resolver.kb.nl/resolve?urn=ddd:010198705:mpeg21:a0005,overig
http://resolver.kb.nl/resolve?urn=ddd:010254643:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:010064474:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:010708326:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010261336:mpeg21:a0011,overig
http://resolver.kb.nl/resolve?urn=ddd:010912265:mpeg21:a0004,overig
http://resolver.kb.nl/resolve?urn=ddd:011100999:mpeg21:a0018,overig
http://resolver.kb.nl/resolve?urn=MMKB19:000089061:mpeg21:a00006,overig
http://resolver.kb.nl/resolve?urn=ddd:010965156:mpeg21:a0003,overig
http://resolver.kb.nl/resolve?urn=ddd:010261887:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010576296:mpeg21:a0018,overig
http://resolver.kb.nl/resolve?urn=ddd:010576168:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:010576624:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:010262337:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010707941:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010097812:mpeg21:a0006,overig
http://resolver.kb.nl/resolve?urn=ddd:010174538:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010791511:mpeg21:a0007,overig
http://resolver.kb.nl/resolve?urn=ddd:010791521:mpeg21:a0006,overig
http://resolver.kb.nl/resolve?urn=ddd:010799699:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010805820:mpeg21:a0014,overig
http://resolver.kb.nl/resolve?urn=ddd:010175531:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:011006359:mpeg21:a0027,overig
http://resolver.kb.nl/resolve?urn=ddd:010289580:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=MMKB04:000165177:mpeg21:a0004,overig
http://resolver.kb.nl/resolve?urn=ddd:010174974:mpeg21:a0001,overig
http://resolver.kb.nl/resolve?urn=ddd:010485753:mpeg21:a0024,overig
http://resolver.kb.nl/resolve?urn=ddd:010098354:mpeg21:a0005,overig
http://resolver.kb.nl/resolve?urn=ddd:110532648:mpeg21:a0019,overig
http://resolver.kb.nl/resolve?urn=ddd:011060614:mpeg21:a0013,overig
http://resolver.kb.nl/resolve?urn=ddd:010788318:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:010799163:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:110533191:mpeg21:a0029,overig
http://resolver.kb.nl/resolve?urn=ddd:000025007:mpeg21:a0011,overig
http://resolver.kb.nl/resolve?urn=MMGARO01:000167530:mpeg21:a0004,overig
http://resolver.kb.nl/resolve?urn=MMKB08:000093217:mpeg21:a0008,overig
http://resolver.kb.nl/resolve?urn=ddd:010396649:mpeg21:a0003,overig
http://resolver.kb.nl/resolve?urn=ddd:010062082:mpeg21:a0055,overig
http://resolver.kb.nl/resolve?urn=ddd:010261338:mpeg21:a0003,overig
http://resolver.kb.nl/resolve?urn=ddd:010576412:mpeg21:a0002,overig
http://resolver.kb.nl/resolve?urn=ddd:010574768:mpeg21:a0003,overig
